id pp0 pp1 pp2
0 7.7799 0.123894 4.01699e-08
1 4.83949 0.124479 4.8124e-09
2 7.73978 0.124149 3.54106e-08
3 -9.72251 0.125927 -7.14889e-10
4 7.13244 0.123834 4.17007e-08
5 5.66674 0.124197 3.64109e-08
6 6.09719 0.124062 3.74942e-08
7 6.95289 0.123564 7.22182e-08
8 5.49891 0.123923 4.778e-08
9 7.10183 0.124037 3.98021e-08
10 13.9134 0.122352 1.24096e-07
11 6.99957 0.124185 2.88932e-08
12 5.93061 0.123889 3.59694e-08
13 4.35372 0.124654 -3.25563e-09
14 5.7696 0.124137 3.76527e-08
15 7.13508 0.123929 3.38685e-08
16 6.58181 0.124201 3.47733e-08
17 4.03937 0.124613 -5.06916e-09
18 5.3482 0.124013 4.05621e-08 
19 4.88573 0.124492 3.34977e-08
20 4.74635 0.123822 4.92334e-09
21 6.77939 0.124226 3.0733e-08
22 6.79254 0.124035 4.01513e-08
23 6.96397 0.123755 3.38631e-08 
24 6.5626 0.123926 3.89677e-08
25 7.13201 0.123376 7.10654e-08
26 -0.977451 0.124794 1.76269e-08
27 6.56042 0.124075 3.64389e-08
28 7.85376 0.124044 3.5368e-08
29 6.73103 0.124016 3.73409e-08
30 7.32151 0.12401 3.9103e-08
31 7.13917 0.122934 4.23234e-08
32 7.13222 0.123584 3.33084e-08
33 7.31431 0.123695 4.15835e-08
34 7.37187 0.122257 4.62166e-08
35 6.8395 0.124592 4.39221e-08
36 5.66587 0.125949 3.06136e-08
37 6.63804 0.123891 4.43627e-08
38 5.95712 0.123936 3.97269e-08
39 0 0 0
40 0 0 0
41 5.68789 0.124185 3.741e-08
42 6.40687 0.123276 4.64356e-08
43 6.14212 0.124146 4.86991e-08
44 5.89196 0.124058 4.20512e-08
